Date,Open,High,Low,Close,Volume,Market Cap,Rounded Low,Spread (Hi-Low),Spread(Close-Open)
3/30/18,7171.45,7276.66,6683.93,6890.52,5652727052,1.16787E+11,6800,592.73,-280.93
3/29/18,7979.07,7994.33,7081.38,7165.7,4954102782,1.21436E+11,7100,912.95,-813.37
3/28/18,7836.83,8122.89,7809.17,7954.48,5267277711,1.34788E+11,7900,313.72,117.65
3/27/18,8200,8232.78,7797.28,7833.04,5969723258,1.32717E+11,7800,435.5,-366.96
3/26/18,8498.47,8530.08,7921.43,8209.4,6203275507,1.39078E+11,8200,608.65,-289.07
3/25/18,8612.81,8682.01,8449.1,8495.78,5402066610,1.43914E+11,8400,232.91,-117.03
3/24/18,8901.95,8996.18,8665.7,8668.12,4266640988,1.46819E+11,8600,330.48,-233.83
3/23/18,8736.25,8879.62,8360.62,8879.62,5165293490,1.50384E+11,8800,519,143.37
3/22/18,8939.44,9100.71,8564.9,8728.47,5156476494,1.47809E+11,8700,535.81,-210.97
3/21/18,8937.48,9177.37,8846.33,8929.28,6020064793,1.51194E+11,8900,331.04,-8.2
3/20/18,8619.67,9051.02,8389.89,8913.47,5042975778,1.5091E+11,8900,661.13,293.8
3/19/18,8344.12,8675.87,8182.4,8630.65,5371659508,1.46108E+11,8600,493.47,286.53
3/18/18,7890.52,8245.51,7397.99,8223.68,3900493413,1.39202E+11,8200,847.52,333.16
3/17/18,8321.91,8346.53,7812.82,7916.88,3413899967,1.33993E+11,7900,533.71,-405.03
3/16/18,8322.91,8585.15,8005.31,8338.35,4971515728,1.41112E+11,8300,579.84,15.44
3/15/18,8290.76,8428.35,7783.05,8300.86,6800060235,1.40461E+11,8300,645.3,10.1
3/14/18,9214.65,9355.85,8068.59,8269.81,6195101928,1.39921E+11,8200,1287.26,-944.84
3/13/18,9173.04,9470.38,8958.19,9194.85,5711389197,1.55556E+11,9100,512.19,21.81
3/12/18,9602.93,9937.5,8956.43,9205.12,6416998189,1.55711E+11,9200,981.07,-397.81
3/11/18,8852.78,9711.89,8607.12,9578.63,4125518665,1.6201E+11,9500,1104.77,725.85
3/10/18,9350.59,9531.32,8828.47,8866,4169223799,1.4994E+11,8800,702.85,-484.59
3/9/18,9414.69,9466.35,8513.03,9337.55,7513778456,1.57898E+11,9300,953.32,-77.14
3/8/18,9951.44,10147.4,9335.87,9395.01,7230854771,1.58852E+11,9300,811.53,-556.43
3/7/18,10803.9,10929.5,9692.12,9965.57,7144578485,1.6848E+11,9900,1237.38,-838.33
3/6/18,11500.1,11500.1,10694.3,10779.9,7260012005,1.82225E+11,10700,805.8,-720.2
3/5/18,11532.4,11704.1,11443.9,11573.3,8062165667,1.95615E+11,11500,260.2,40.9
3/4/18,11497.4,11512.6,11136.1,11512.6,5268982642,1.94567E+11,11500,376.5,15.2
3/3/18,11101.9,11528.2,11002.4,11489.7,6657283231,1.94159E+11,11400,525.8,387.8
3/2/18,10977.4,11189,10850.1,11086.4,7917264413,1.87319E+11,11000,338.9,109
3/1/18,10385,11052.3,10352.7,10951,9757408494,1.8501E+11,10900,699.6,566
2/28/18,10687.2,11089.8,10393.1,10397.9,9233137527,1.75644E+11,10300,696.7,-289.3
2/27/18,10393.9,10878.5,10246.1,10725.6,7116756940,1.81159E+11,10700,632.4,331.7
2/26/18,9669.43,10475,9501.73,10366.7,6386756347,1.75076E+11,10300,973.27,697.27
2/25/18,9796.42,9923.22,9407.06,9664.73,4384695642,1.63204E+11,9600,516.16,-131.69
2/24/18,10287.7,10597.2,9546.97,9813.07,6208455871,1.65688E+11,9800,1050.23,-474.63
2/23/18,9937.07,10487.3,9734.56,10301.1,7347626606,1.73909E+11,10300,752.74,364.03
2/22/18,10660.4,11039.1,9939.09,10005,12015582852,1.68892E+11,10000,1100.01,-655.4
2/21/18,11372.2,11418.5,10479.1,10690.4,12215613119,1.80442E+11,10600,939.4,-681.8
2/20/18,11231.8,11958.5,11231.8,11403.7,11256696602,1.92458E+11,11400,726.7,171.9
2/19/18,10552.6,11273.8,10513.2,11225.3,15274937955,1.89427E+11,11200,760.6,672.7
2/18/18,11123.4,11349.8,10326,10551.8,14588036498,1.78041E+11,10500,1023.8,-571.6
2/17/18,10207.5,11139.5,10149.4,11112.7,11315638700,1.87482E+11,11100,990.1,905.2
2/16/18,10135.7,10324.1,9824.82,10233.9,6879188520,1.72637E+11,10200,499.28,98.2
2/15/18,9488.32,10234.8,9395.58,10166.4,9046158952,1.71478E+11,10100,839.22,678.08
2/14/18,8599.92,9518.54,8599.92,9494.63,9585133738,1.60132E+11,9400,918.62,894.71
2/13/18,8926.72,8958.47,8455.41,8598.31,8924752165,1.44996E+11,8500,503.06,-328.41
2/12/18,8141.43,8985.92,8141.43,8926.57,11113984445,1.50513E+11,8900,844.49,785.14
2/11/18,8616.13,8616.13,7931.1,8129.97,9520593485,1.37065E+11,8100,685.03,-486.16
2/10/18,8720.08,9122.55,8295.47,8621.9,11259806019,1.45342E+11,8600,827.08,-98.18
2/9/18,8271.84,8736.98,7884.71,8736.98,7502707124,1.47266E+11,8700,852.27,465.14
2/8/18,7637.86,8558.77,7637.86,8265.59,7389507380,1.39307E+11,8200,920.91,627.73
2/7/18,7755.49,8509.11,7236.79,7621.3,7383538359,1.28435E+11,7600,1272.32,-134.19
2/6/18,7051.75,7850.7,6048.26,7754,10209584543,1.30658E+11,7700,1802.44,702.25
